# Matter power spectrum P(k) at redshift z=2
# for k=1.045e-05 to 10.6861 h/Mpc,
# number of wavenumbers equal to 613
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.494593783714e-01       3.400990359813e+01 
       6.526732503282e-01       3.364396575269e+01 
       6.558871223600e-01       3.328315984012e+01 
       6.591009944657e-01       3.292724277861e+01 
       6.623148666441e-01       3.257612639310e+01 
       6.655287388943e-01       3.222998218845e+01 
       6.687426112152e-01       3.188892337808e+01 
       6.719564836057e-01       3.155306146816e+01 
       6.751703560649e-01       3.122228028455e+01 
       6.783842285918e-01       3.089635070531e+01 
       6.815981011854e-01       3.057499407217e+01 
       6.848119738448e-01       3.025805732813e+01 
       6.880258465691e-01       2.994554312365e+01 
       6.912397193574e-01       2.963756569417e+01 
       6.944535922087e-01       2.933427407740e+01 
       6.976674651222e-01       2.903566259135e+01 
       7.008813380971e-01       2.874160971390e+01 
       7.040952111324e-01       2.845193457523e+01 
       7.073090842275e-01       2.816614987457e+01 
       7.105229573814e-01       2.788417290371e+01 
       7.137368305933e-01       2.760595721915e+01 
       7.169507038626e-01       2.733155457313e+01 
       7.201645771883e-01       2.706107333496e+01 
       7.233784505698e-01       2.679450920780e+01 
       7.265923240064e-01       2.653170201843e+01 
       7.298061974972e-01       2.627245519072e+01 
       7.330200710416e-01       2.601655231560e+01 
       7.362339446388e-01       2.576384235532e+01 
       7.394478182883e-01       2.551435913907e+01 
       7.426616919892e-01       2.526820120321e+01 
       7.458755657410e-01       2.502548169093e+01 
       7.490894395429e-01       2.478624827973e+01 
       7.523033133944e-01       2.455034518945e+01 
       7.555171872948e-01       2.431760835043e+01 
       8.259205627815e-01       1.990396366084e+01 
       9.280150980228e-01       1.527283171524e+01 
       1.090552453521e+00       1.053148197981e+01 
       1.346943533441e+00       6.422861813095e+00 
       1.693655695988e+00       3.720725711480e+00 
       2.132152443295e+00       2.129988046729e+00 
       2.684220786091e+00       1.209360068342e+00 
       3.379233758430e+00       6.815799695288e-01 
       4.254203250880e+00       3.815549324937e-01 
       5.355724579470e+00       2.122917266145e-01 
       6.742457771666e+00       1.174542409234e-01 
